collection,sourceFile,primaryType,fields,foreignKeys,relatedSourceFiles
billing_invoices,src/lib/data/billing-invoices.ts,BillingInvoice,id:string|companyId:string|subscriptionId:string|planId:string|planName:string|amount:number|currency:string|status:BillingInvoiceStatus|periodStart:string|periodEnd:string|issuedAt:Date | null|dueDate:Date | null|paidAt:Date | null|createdAt:Date,companyId->companies|subscriptionId->subscriptions|planId->plans (inferred),src/lib/data/billing-invoices.ts
billing_plans,src/lib/data/billing-plans.ts,BillingPlan,id:string|code:string|name:string|description:string | null|currency:string|priceMonthly:number|priceYearly:number|maxUsers:number|maxCompanies:number | null|modules:string[]|trialDays:number|graceDays:number|isActive:boolean|isDefault:boolean|createdAt:Date,,src/lib/data/billing-plans.ts
cash_adjustments,src/lib/data/cash-adjustments.ts,CashAdjustment,id:string|companyId:string|adjustmentNumber:string|adjustmentDate:string|accountId:string|offsetAccountId:string|type:CashAdjustmentType|amount:number|reason:string | null|memo:string | null|journalEntryId:string | null|createdAt:Date,companyId->companies|accountId->chart_accounts|offsetAccountId->offset_accounts (inferred)|journalEntryId->journal_entrys (inferred),src/lib/data/cash-adjustments.ts
cash_bank_accounts,src/lib/data/cash-bank-accounts.ts,CashBankAccount,id:string|companyId:string|accountId:string|name:string|type:CashBankAccountType|status:CashBankAccountStatus|openingBalance:number|bankName:string | null|iban:string | null|createdAt:Date,companyId->companies|accountId->chart_accounts,src/lib/data/cash-bank-accounts.ts
cash_transactions,src/lib/data/cash-transactions.ts,CashTransaction,id:string|companyId:string|accountId:string|date:string|amount:number|direction:CashDirection|reference:string | null|description:string | null|sourceType:string|sourceId:string | null|createdAt:Date,companyId->companies|accountId->chart_accounts|sourceId->sources (inferred),src/lib/data/cash-transactions.ts
chart_accounts,src/lib/data/chart-accounts.ts,ChartAccount,"id:string|companyId:string|code:string|name:string|type:""asset"" | ""liability"" | ""equity"" | ""income"" | ""expense"" | ""cogs""|parentId:string | null|isPosting:boolean|status:""active"" | ""inactive""|system:boolean|createdAt:Date",companyId->companies|parentId->parents (inferred),src/lib/data/chart-accounts.ts
companies,src/lib/data/companies.ts,CompanyRecord,"id:string|name:string|currency:string|vatNumber:string|legalName:string|crNumber:string|address:string|fiscalYearStart:string|timezone:string|defaultLanguage:""ar"" | ""en""|status:""active"" | ""suspended""|createdAt:Date",,src/lib/data/companies.ts|src/lib/data/kpis.ts|src/lib/data/system-metrics.ts|src/lib/data/tenants.ts
company_configs,src/lib/data/company-config.ts,CompanyConfig,"vatEnabled:boolean|vatRate:number|vatFilingFrequency:""monthly"" | ""quarterly""|taxInclusive:boolean|invoicePrefix:string|invoiceSuffix:string|invoiceNextNumber:number|invoicePadding:number|invoiceResetYearly:boolean|invoiceLastResetYear:number | null|billPrefix:string|billSuffix:string|billNextNumber:number|billPadding:number|billResetYearly:boolean|billLastResetYear:number | null|creditPrefix:string|creditSuffix:string|creditNextNumber:number|creditPadding:number|creditResetYearly:boolean|creditLastResetYear:number | null|vendorCreditPrefix:string|vendorCreditSuffix:string|vendorCreditNextNumber:number|vendorCreditPadding:number|vendorCreditResetYearly:boolean|vendorCreditLastResetYear:number | null|receiptPrefix:string|receiptSuffix:string|receiptNextNumber:number|receiptPadding:number|receiptResetYearly:boolean|receiptLastResetYear:number | null|vendorPaymentPrefix:string|vendorPaymentSuffix:string|vendorPaymentNextNumber:number|vendorPaymentPadding:number|vendorPaymentResetYearly:boolean|vendorPaymentLastResetYear:number | null|transferPrefix:string|transferSuffix:string|transferNextNumber:number|transferPadding:number|transferResetYearly:boolean|transferLastResetYear:number | null|adjustmentPrefix:string|adjustmentSuffix:string|adjustmentNextNumber:number|adjustmentPadding:number|adjustmentResetYearly:boolean|adjustmentLastResetYear:number | null|expensePrefix:string|expenseSuffix:string|expenseNextNumber:number|expensePadding:number|expenseResetYearly:boolean|expenseLastResetYear:number | null|invoiceTemplate:""classic"" | ""modern"" | ""minimal""|billTemplate:""classic"" | ""modern"" | ""minimal""|signatureName:string | null|signatureTitle:string | null|signatureImageUrl:string | null|signatureEnabled:boolean|dateFormat:""yyyy-MM-dd"" | ""dd/MM/yyyy"" | ""MM/dd/yyyy""|timeFormat:""24h"" | ""12h""|roundingPrecision:number|roundingMode:""standard"" | ""up"" | ""down""|billApprovalThreshold:number|payrollApprovalThreshold:number|periodLockDate:string | null|onboardingCompleted:boolean",,src/lib/data/bank-transfers.ts|src/lib/data/cash-adjustments.ts|src/lib/data/company-config.ts|src/lib/data/credit-notes.ts|src/lib/data/expenses.ts|src/lib/data/payment-receipts.ts|src/lib/data/purchase-bills.ts|src/lib/data/sales-invoices.ts|src/lib/data/vendor-credit-notes.ts|src/lib/data/vendor-payments.ts
company_defaults,src/lib/data/company-defaults.ts,CompanyDefaults,salesAccountId:string | null|purchasesAccountId:string | null|vatOutputAccountId:string | null|vatInputAccountId:string | null|discountAccountId:string | null|receivableAccountId:string | null|payableAccountId:string | null|defaultSalesTaxCategoryId:string | null|defaultPurchaseTaxCategoryId:string | null|defaultSalesPaymentTermId:string | null|defaultPurchasePaymentTermId:string | null,salesAccountId->sales_accounts (inferred)|purchasesAccountId->purchases_accounts (inferred)|vatOutputAccountId->vat_output_accounts (inferred)|vatInputAccountId->vat_input_accounts (inferred)|discountAccountId->discount_accounts (inferred)|receivableAccountId->receivable_accounts (inferred)|payableAccountId->payable_accounts (inferred)|defaultSalesTaxCategoryId->default_sales_tax_categorys (inferred)|defaultPurchaseTaxCategoryId->default_purchase_tax_categorys (inferred)|defaultSalesPaymentTermId->default_sales_payment_terms (inferred)|defaultPurchasePaymentTermId->default_purchase_payment_terms (inferred),src/lib/data/company-defaults.ts
contacts,src/lib/data/contacts.ts,ContactRecord,id:string|companyId:string|partyType:PartyType|partyId:string|name:string|email:string|phone:string|role:string|isPrimary:boolean|createdAt:Date,companyId->companies|partyId->partys (inferred),src/lib/data/contacts.ts
credit_note_refunds,src/lib/data/credit-note-refunds.ts,CreditNoteRefund,id:string|companyId:string|creditNoteId:string|refundDate:string|amount:number|accountId:string|reference:string | null|journalEntryId:string | null|createdAt:Date,companyId->companies|creditNoteId->credit_notes (inferred)|accountId->chart_accounts|journalEntryId->journal_entrys (inferred),src/lib/data/credit-note-refunds.ts
customers,src/lib/data/customers.ts,CustomerRecord,id:string|companyId:string|name:string|legalName:string|vatRegistered:boolean|vatNumber:string|crNumber:string|email:string|phone:string|billingAddress:string|shippingAddress:string|paymentTermId:string | null|creditLimit:number | null|currency:string|notes:string|tags:string[]|status:CustomerStatus|createdAt:Date,companyId->companies|paymentTermId->payment_terms,src/lib/data/customers.ts
departments,src/lib/data/departments.ts,DepartmentRecord,id:string|companyId:string|nameAr:string|nameEn:string|code:string | null|managerId:string | null|status:DepartmentStatus|notes:string | null|createdAt:Date|updatedAt:Date,companyId->companies|managerId->managers (inferred),src/lib/data/departments.ts
document_branding,src/lib/data/document-branding.ts,DocumentBranding,logoUrl:string | null|header:string | null|footer:string | null|accentColor:string | null,,src/lib/data/document-branding.ts
documents,src/lib/data/documents.ts,DocumentRecord,"id:string|companyId:string|name:string|docType:""invoice"" | ""receipt"" | ""contract"" | ""id"" | ""general""|tags:string[]|entityType:string | null|entityId:string | null|contentType:string|size:number|storage:DocumentStorage|url:string | null|content:string | null|uploadedBy:string|uploadedByEmail:string | null|versions:DocumentVersion[]|createdAt:Date|updatedAt:Date",companyId->companies|entityId->entitys (inferred),src/lib/data/documents.ts
dr_drills,src/lib/data/disaster-recovery.ts,DrDrill,id:string|type:DrDrillType|scope:string|status:DrDrillStatus|startedAt:Date|completedAt:Date | null|rpoAchievedMinutes:number | null|rtoAchievedMinutes:number | null|runBy:string | null|notes:string | null|createdAt:Date,,src/lib/data/disaster-recovery.ts
dr_settings,src/lib/data/disaster-recovery.ts,DrSettings,id:string|rpoMinutes:number|rtoMinutes:number|backupFrequencyHours:number|retentionDays:number|backupRegion:string|priorityCritical:string[]|priorityHigh:string[]|priorityMedium:string[]|priorityLow:string[]|lastReviewedAt:Date | null|approvedBy:string | null|updatedAt:Date,,src/lib/data/disaster-recovery.ts
email_outbox,src/lib/data/email-outbox.ts,OutboxEmail,"id:string|companyId:string|to:string|subject:string|body:string|sourceType:string | null|sourceId:string | null|meta:Record<string, unknown>|status:OutboxStatus|attempts:number|lastError:string | null|createdAt:Date|updatedAt:Date",companyId->companies|sourceId->sources (inferred),src/lib/data/email-outbox.ts
employee_contracts,src/lib/data/employee-contracts.ts,EmployeeContractRecord,id:string|companyId:string|employeeId:string|type:ContractType|status:ContractStatus|startDate:string | null|endDate:string | null|probationEndDate:string | null|salary:{ basic: number|housingAllowance:number|transportAllowance:number|otherAllowance:number|deductions:number|currency:string,companyId->companies|employeeId->employees,src/lib/data/employee-contracts.ts
employee_documents,src/lib/data/employee-documents.ts,EmployeeDocumentRecord,id:string|companyId:string|employeeId:string|type:DocumentType|name:string|contentType:string|size:number|storage:DocumentStorage|url:string|content:string|issuedAt:string | null|expiresAt:string | null|createdAt:Date,companyId->companies|employeeId->employees,src/lib/data/employee-documents.ts
employee_transfers,src/lib/data/employee-transfers.ts,EmployeeTransferRecord,id:string|companyId:string|employeeId:string|fromDepartmentId:string | null|toDepartmentId:string | null|fromPositionId:string | null|toPositionId:string | null|effectiveDate:string | null|reason:string | null|createdBy:string | null|createdAt:Date,companyId->companies|employeeId->employees|fromDepartmentId->from_departments (inferred)|toDepartmentId->to_departments (inferred)|fromPositionId->from_positions (inferred)|toPositionId->to_positions (inferred),src/lib/data/employee-transfers.ts
employees,src/lib/data/employees.ts,EmployeeRecord,id:string|companyId:string|employeeNumber:string | null|nameAr:string|nameEn:string|nationalId:string | null|iqamaNumber:string | null|passportNumber:string | null|nationality:string | null|dob:string | null|gender:EmployeeGender | null|email:string | null|phone:string | null|address:string | null|hireDate:string | null|departmentId:string | null|positionId:string | null|managerId:string | null|userId:string | null|employmentType:EmploymentType | null|status:EmployeeStatus|terminationDate:string | null|terminationReason:string | null|notes:string | null|onboarding:EmployeeOnboardingTask[]|createdAt:Date|updatedAt:Date,companyId->companies|nationalId->nationals (inferred)|departmentId->departments|positionId->positions|managerId->managers (inferred)|userId->users,src/lib/data/employees.ts
expense_attachments,src/lib/data/expense-attachments.ts,ExpenseAttachment,id:string|companyId:string|expenseId:string|name:string|contentType:string|size:number|storage:AttachmentStorage|url:string|content:string|createdAt:Date,companyId->companies|expenseId->expenses,src/lib/data/expense-attachments.ts
expense_categories,src/lib/data/expense-categories.ts,ExpenseCategory,id:string|companyId:string|name:string|expenseAccountId:string|status:ExpenseCategoryStatus|createdAt:Date,companyId->companies|expenseAccountId->expense_accounts (inferred),src/lib/data/expense-categories.ts
expenses,src/lib/data/expenses.ts,Expense,id:string|companyId:string|expenseNumber:string|status:ExpenseStatus|expenseDate:string|categoryId:string|categoryName:string|expenseAccountId:string|vendorId:string | null|vendorName:string | null|paymentMethod:string|paymentAccountId:string | null|currency:string|amount:number|netAmount:number|taxAmount:number|taxRate:number|taxCategoryId:string | null|taxInclusive:boolean|description:string | null|notes:string | null|reimbursable:boolean|reimbursementStatus:ReimbursementStatus | null|reimburseTo:string | null|journalEntryId:string | null|reimbursementEntryId:string | null|reimbursementMethod:string | null|reimbursementAccountId:string | null|reimbursementReference:string | null|approvedAt:string | null|reimbursedAt:string | null|createdAt:Date,companyId->companies|categoryId->expense_categories|expenseAccountId->expense_accounts (inferred)|vendorId->vendors|paymentAccountId->payment_accounts (inferred)|taxCategoryId->tax_categorys (inferred)|journalEntryId->journal_entrys (inferred)|reimbursementEntryId->reimbursement_entrys (inferred)|reimbursementAccountId->reimbursement_accounts (inferred),src/lib/data/expenses.ts
impersonations,src/lib/data/impersonations.ts,ImpersonationRecord,id:string|adminUserId:string|adminEmail:string|targetUserId:string|targetEmail:string|companyId:string | null|reason:string | null|status:ImpersonationStatus|createdAt:Date|expiresAt:Date|endedAt:Date | null|endedBy:string | null,adminUserId->admin_users (inferred)|targetUserId->target_users (inferred)|companyId->companies,src/lib/data/impersonations.ts
import_jobs,src/lib/data/import-jobs.ts,ImportJob,id:string|companyId:string|entity:ImportEntity|status:ImportJobStatus|totalRows:number|createdCount:number|errorCount:number|createdBy:string|createdByEmail:string | null|createdAt:Date,companyId->companies,src/lib/data/import-jobs.ts
integration_jobs,src/lib/data/integration-jobs.ts,IntegrationJob,"id:string|companyId:string|integrationId:string|type:""sync"" | ""test""|status:IntegrationJobStatus|attempts:number|lastError:string | null|createdAt:Date|updatedAt:Date",companyId->companies|integrationId->integrations,src/lib/data/integration-jobs.ts
integration_logs,src/lib/data/integration-logs.ts,IntegrationLog,"id:string|companyId:string|integrationId:string|level:IntegrationLogLevel|message:string|metadata:Record<string, unknown>|createdAt:Date",companyId->companies|integrationId->integrations,src/lib/data/integration-logs.ts
integrations,src/lib/data/integrations.ts,IntegrationRecord,"id:string|companyId:string|name:string|connector:IntegrationConnector|status:IntegrationStatus|environment:IntegrationEnvironment|config:Record<string, unknown>|credentials:Record<string, unknown>|lastSyncAt:Date|lastError:string | null|createdAt:Date|updatedAt:Date",companyId->companies,src/lib/data/integrations.ts
inventory_adjustments,src/lib/data/inventory-adjustments.ts,InventoryAdjustment,id:string|companyId:string|itemId:string|quantity:number|unit:string|baseQuantity:number|reason:AdjustmentReason|note:string|createdAt:Date,companyId->companies|itemId->items,src/lib/data/inventory-adjustments.ts
invites,src/lib/data/invites.ts,,,,src/lib/data/invites.ts
invoice_attachments,src/lib/data/invoice-attachments.ts,InvoiceAttachment,id:string|companyId:string|invoiceId:string|name:string|contentType:string|size:number|storage:AttachmentStorage|url:string|content:string|createdAt:Date,companyId->companies|invoiceId->sales_invoices,src/lib/data/invoice-attachments.ts
invoice_payments,src/lib/data/invoice-payments.ts,InvoicePayment,id:string|companyId:string|invoiceId:string|paymentDate:string|amount:number|method:string|reference:string|accountId:string|journalEntryId:string | null|createdAt:Date,companyId->companies|invoiceId->sales_invoices|accountId->chart_accounts|journalEntryId->journal_entrys (inferred),src/lib/data/invoice-payments.ts
item_attachments,src/lib/data/item-attachments.ts,ItemAttachment,id:string|companyId:string|itemId:string|name:string|contentType:string|size:number|storage:AttachmentStorage|url:string|content:string|createdAt:Date,companyId->companies|itemId->items,src/lib/data/item-attachments.ts
items,src/lib/data/items.ts,ItemRecord,id:string|companyId:string|type:ItemType|name:string|sku:string|barcode:string|category:string|brand:string|descriptionAr:string|descriptionEn:string|baseUnit:string|packUnit:string | null|packSize:number | null|salePrice:number | null|purchasePrice:number | null|taxCategoryId:string | null|incomeAccountId:string | null|expenseAccountId:string | null|trackInventory:boolean|minStock:number | null|stockOnHand:number|stockReserved:number|status:ItemStatus|tags:string[]|createdAt:Date,companyId->companies|taxCategoryId->tax_categorys (inferred)|incomeAccountId->income_accounts (inferred)|expenseAccountId->expense_accounts (inferred),src/lib/data/inventory-adjustments.ts|src/lib/data/items.ts
journal_entries,src/lib/data/journal-entries.ts,JournalEntry,id:string|companyId:string|sourceType:string|sourceId:string | null|date:string|memo:string|lines:JournalLine[]|totalDebit:number|totalCredit:number|status:JournalEntryStatus|createdBy:string | null|approvedBy:string | null|approvedAt:Date | null|reversalOf:string | null|reversedBy:string | null|reversedAt:Date | null|isAdjusting:boolean|createdAt:Date,companyId->companies|sourceId->sources (inferred),src/lib/data/journal-entries.ts
kb_articles,src/lib/data/knowledge-base.ts,KbArticle,id:string|categoryId:string|slug:string|titleAr:string|titleEn:string|summaryAr:string | null|summaryEn:string | null|contentAr:string|contentEn:string|tags:string[]|isPublished:boolean|publishedAt:Date | null|createdAt:Date|updatedAt:Date,categoryId->expense_categories,src/lib/data/knowledge-base.ts
kb_categories,src/lib/data/knowledge-base.ts,KbFeedback,id:string|userId:string|userEmail:string | null|companyId:string | null|articleId:string | null|page:string | null|rating:number|message:string | null|locale:string | null|createdAt:Date,userId->users|companyId->companies|articleId->articles (inferred),src/lib/data/knowledge-base.ts
kb_feedback,src/lib/data/knowledge-base.ts,KbFeedback,id:string|userId:string|userEmail:string | null|companyId:string | null|articleId:string | null|page:string | null|rating:number|message:string | null|locale:string | null|createdAt:Date,userId->users|companyId->companies|articleId->articles (inferred),src/lib/data/knowledge-base.ts
kb_glossary,src/lib/data/knowledge-base.ts,KbGlossaryTerm,id:string|termAr:string|termEn:string|definitionAr:string|definitionEn:string|category:string | null|createdAt:Date|updatedAt:Date,,src/lib/data/knowledge-base.ts
leave_adjustments,src/lib/data/leave-adjustments.ts,LeaveAdjustment,id:string|companyId:string|employeeId:string|leaveTypeId:string|amount:number|reason:string|createdBy:string | null|createdAt:Date,companyId->companies|employeeId->employees|leaveTypeId->leave_types,src/lib/data/leave-adjustments.ts
leave_requests,src/lib/data/leave-requests.ts,LeaveRequest,id:string|companyId:string|employeeId:string|leaveTypeId:string|startDate:string|endDate:string|days:number|reason:string | null|status:LeaveRequestStatus|approvedBy:string | null|decidedAt:Date | null|createdAt:Date,companyId->companies|employeeId->employees|leaveTypeId->leave_types,src/lib/data/leave-requests.ts
leave_types,src/lib/data/leave-types.ts,LeaveType,id:string|companyId:string|name:string|code:string|isPaid:boolean|defaultAllowance:number|requiresApproval:boolean|status:LeaveTypeStatus|createdAt:Date,companyId->companies,src/lib/data/leave-types.ts
memberships,src/lib/data/memberships.ts,MembershipRecord,id:string|userId:string|companyId:string|role:Role|createdAt:Date,userId->users|companyId->companies,src/lib/data/memberships.ts
migration_registry,src/lib/data/migrations.ts,MigrationRegistryRecord,id:string|title:string|description:string|status:MigrationRegistryStatus|appliedAt:Date | null|lastRunAt:Date | null|lastRunStatus:MigrationRunStatus | null|lastRunDryRun:boolean|lastRunBy:string | null|lastRunByEmail:string | null|lastRunId:string | null|lastResult:MigrationResult | null,lastRunId->last_runs (inferred),src/lib/data/migrations.ts
migration_runs,src/lib/data/migrations.ts,MigrationRunRecord,id:string|migrationId:string|title:string|status:MigrationRunStatus|dryRun:boolean|scanned:number|updated:number|notes:string[]|error:string | null|logs:string[]|startedBy:string|startedByEmail:string | null|startedAt:Date|completedAt:Date | null,migrationId->migrations (inferred),src/lib/data/migrations.ts
notification_preferences,src/lib/data/notification-preferences.ts,NotificationPreferences,"id:string|userId:string|companyId:string|channels:NotificationChannelPreferences|types:Partial<Record<NotificationType, Partial<NotificationChannelPreferences>>>|createdAt:Date|updatedAt:Date",userId->users|companyId->companies,src/lib/data/notification-preferences.ts
notifications,src/lib/data/notifications.ts,InAppNotification,"id:string|companyId:string | null|userId:string|type:NotificationType|title:string|body:string|status:NotificationStatus|data:Record<string, unknown>|createdAt:Date|readAt:Date | null",companyId->companies|userId->users,src/lib/data/notifications.ts
open_items,src/lib/data/open-items.ts,OpenItem,id:string|companyId:string|partyType:PartyType|partyId:string|docType:string|docNumber:string|issueDate:string|dueDate:string|amount:number|balance:number|currency:string|createdAt:Date,companyId->companies|partyId->partys (inferred),src/lib/data/open-items.ts
opening_balances,src/lib/data/opening-balances.ts,OpeningBalance,accountId:string|debit:number|credit:number|asOfDate:string | null,accountId->chart_accounts,src/lib/data/opening-balances.ts
password_resets,src/lib/data/password-resets.ts,PasswordResetRecord,id:string|userId:string|emailLower:string|tokenHash:string|expiresAt:Date|usedAt:Date | null|createdAt:Date,userId->users,src/lib/data/password-resets.ts
payment_methods,src/lib/data/payment-methods.ts,PaymentMethod,"id:string|companyId:string|type:""card"" | ""bank""|brand:string | null|last4:string|expMonth:number | null|expYear:number | null|token:string|isDefault:boolean|createdAt:Date",companyId->companies,src/lib/data/payment-methods.ts
payment_receipts,src/lib/data/payment-receipts.ts,PaymentReceipt,id:string|companyId:string|receiptNumber:string|receiptDate:string|customerId:string|customerName:string|method:string|accountId:string|reference:string | null|currency:string|totalAmount:number|appliedAmount:number|unappliedAmount:number|allocations:ReceiptAllocation[]|journalEntryId:string | null|createdAt:Date,companyId->companies|customerId->customers|accountId->chart_accounts|journalEntryId->journal_entrys (inferred),src/lib/data/payment-receipts.ts
payment_terms,src/lib/data/payment-terms.ts,PaymentTerm,"id:string|companyId:string|name:string|days:number|status:""active"" | ""inactive""|createdAt:Date",companyId->companies,src/lib/data/payment-terms.ts
payroll_adjustments,src/lib/data/payroll-adjustments.ts,PayrollAdjustment,id:string|companyId:string|runId:string|runItemId:string|amount:number|reason:string|createdBy:string | null|createdAt:Date,companyId->companies|runId->payroll_runs|runItemId->run_items (inferred),src/lib/data/payroll-adjustments.ts
payroll_run_items,src/lib/data/payroll-run-items.ts,PayrollRunItem,id:string|companyId:string|runId:string|employeeId:string|contractId:string|currency:string|baseSalary:number|allowances:number|fixedDeductions:number|overtimePay:number|latenessDeduction:number|unpaidLeaveDeduction:number|absenceDeduction:number|gosiDeduction:number|incomeTaxDeduction:number|statutoryDeduction:number|adjustmentsTotal:number|grossPay:number|totalDeductions:number|netPay:number|overtimeMinutes:number|lateMinutes:number|absentDays:number|unpaidLeaveDays:number|leaveDays:number|totalMinutes:number|prorationFactor:number|activeDays:number|createdAt:Date|updatedAt:Date,companyId->companies|runId->payroll_runs|employeeId->employees|contractId->contracts (inferred),src/lib/data/payroll-run-items.ts
payroll_runs,src/lib/data/payroll-runs.ts,PayrollRun,id:string|companyId:string|periodStart:string|periodEnd:string|status:PayrollRunStatus|totals:PayrollRunTotals|createdBy:string | null|approvedBy:string | null|approvedAt:Date | null|paidAt:Date | null|paymentMethod:string | null|paymentAccountId:string | null|journalEntryId:string | null|paymentJournalEntryId:string | null|createdAt:Date|updatedAt:Date,companyId->companies|paymentAccountId->payment_accounts (inferred)|journalEntryId->journal_entrys (inferred)|paymentJournalEntryId->payment_journal_entrys (inferred),src/lib/data/kpis.ts|src/lib/data/payroll-runs.ts|src/lib/data/system-metrics.ts
payroll_settings,src/lib/data/payroll-settings.ts,PayrollSettings,"companyId:string|cycle:""monthly""|overtimeMultiplier:number|latenessPenaltyPerMinute:number|gosiEnabled:boolean|gosiEmployeeRate:number|gosiEmployerRate:number|incomeTaxEnabled:boolean|incomeTaxRate:number|salaryExpenseAccountId:string | null|payrollPayableAccountId:string | null|salaryDeductionsAccountId:string | null|paymentAccountId:string | null|createdAt:Date|updatedAt:Date",companyId->companies|salaryExpenseAccountId->salary_expense_accounts (inferred)|payrollPayableAccountId->payroll_payable_accounts (inferred)|salaryDeductionsAccountId->salary_deductions_accounts (inferred)|paymentAccountId->payment_accounts (inferred),src/lib/data/payroll-settings.ts
positions,src/lib/data/positions.ts,PositionRecord,id:string|companyId:string|nameAr:string|nameEn:string|code:string | null|departmentId:string | null|status:PositionStatus|notes:string | null|createdAt:Date|updatedAt:Date,companyId->companies|departmentId->departments,src/lib/data/positions.ts
purchase_bills,src/lib/data/purchase-bills.ts,PurchaseBill,id:string|companyId:string|vendorId:string|vendorName:string|vendorVatNumber:string|remittanceAddress:string|billNumber:string|vendorBillNumber:string | null|status:BillStatus|billDate:string|dueDate:string|currency:string|paymentTermId:string | null|notes:string | null|subtotal:number|discountTotal:number|taxTotal:number|total:number|amountPaid:number|amountCredited:number|balance:number|lines:BillLine[]|openItemId:string | null|journalEntryId:string | null|approvedAt:string | null|createdAt:Date,companyId->companies|vendorId->vendors|paymentTermId->payment_terms|openItemId->open_items|journalEntryId->journal_entrys (inferred),src/lib/data/purchase-bills.ts
recurring_invoices,src/lib/data/recurring-invoices.ts,RecurringInvoice,id:string|companyId:string|customerId:string|customerName:string|currency:string|frequency:RecurringFrequency|nextRunDate:string|lastRunDate:string | null|status:RecurringStatus|template:{ invoiceDateOffsetDays: number|dueDays:number|paymentTermId:string | null|notes:string | null|terms:string | null|lines:Array<{ id: string|itemId:string|description:string|quantity:number|unit:string|unitPrice:number|discountRate:number|taxCategoryId:string | null,companyId->companies|customerId->customers|paymentTermId->payment_terms|itemId->items|taxCategoryId->tax_categorys (inferred),src/lib/data/recurring-invoices.ts
registration_requests,src/lib/data/registration-requests.ts,RegistrationRequest,"id:string|email:string|name:string|companyName:string|phone:string|requestedRole:string|status:""pending"" | ""approved"" | ""rejected""|createdAt:Date|processedAt:Date",,src/lib/data/registration-requests.ts
